Wed 08 Apr 2026, 11:27AM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
4.088, 63, Clicked: RED, x=940,  y=179, Clicked: None, x=940, y=179,  Unknown Color: x=954,  y=169,  dx=0.08643493934370255,  dy=-0.050289176376736,  clicks=4,  score=4, BLUE: x=989,  y=472,  dx=0.006646802317125929,  dy=-0.09977885557049174,  clicks=0,  score=0,
4.256, 64, Clicked: RED, x=940,  y=179, Clicked: None, x=940, y=179,  Unknown Color: x=954,  y=169,  dx=0.08643493934370255,  dy=-0.050289176376736,  clicks=5,  score=5, BLUE: x=989,  y=472,  dx=0.006646802317125929,  dy=-0.09977885557049174,  clicks=0,  score=0,
4.456, 65, Clicked: RED, x=940,  y=179, Clicked: None, x=940, y=179,  Unknown Color: x=954,  y=169,  dx=0.08643493934370255,  dy=-0.050289176376736,  clicks=6,  score=6, BLUE: x=989,  y=472,  dx=0.006646802317125929,  dy=-0.09977885557049174,  clicks=0,  score=0,
4.653, 66, Clicked: RED, x=940,  y=179, Clicked: None, x=940, y=179,  Unknown Color: x=954,  y=169,  dx=0.08643493934370255,  dy=-0.050289176376736,  clicks=7,  score=7, BLUE: x=989,  y=472,  dx=0.006646802317125929,  dy=-0.09977885557049174,  clicks=0,  score=0,
4.801, 67, Clicked: RED, x=940,  y=179, Clicked: None, x=940, y=179,  Unknown Color: x=954,  y=169,  dx=0.08643493934370255,  dy=-0.050289176376736,  clicks=8,  score=8, BLUE: x=989,  y=472,  dx=0.006646802317125929,  dy=-0.09977885557049174,  clicks=0,  score=0,
5.004, 68, Clicked: RED, x=940,  y=179, Clicked: None, x=940, y=179,  Unknown Color: x=954,  y=169,  dx=0.08643493934370255,  dy=-0.050289176376736,  clicks=9,  score=9, BLUE: x=989,  y=472,  dx=0.006646802317125929,  dy=-0.09977885557049174,  clicks=0,  score=0,
################# INIT balls ######################
0.15, 69, Clicked: None, x=940, y=179, Clicked: None, x=940, y=179,  RED: x=448,  y=322,  dx=-0.06779965523534673,  dy=-0.07350650821504258,  clicks=0,  score=0, BLUE: x=626,  y=219,  dx=0.0788748137893102,  dy=0.06147164996729503,  clicks=0,  score=0,
2.048, 69, Clicked: None, x=373, y=353, Clicked: None, x=373, y=353,  RED: x=448,  y=322,  dx=-0.06779965523534673,  dy=-0.07350650821504258,  clicks=0,  score=0, BLUE: x=626,  y=219,  dx=0.0788748137893102,  dy=0.06147164996729503,  clicks=0,  score=0,
2.447, 69, Clicked: None, x=500, y=291, Clicked: None, x=500, y=291,  RED: x=448,  y=322,  dx=-0.06779965523534673,  dy=-0.07350650821504258,  clicks=0,  score=0, BLUE: x=626,  y=219,  dx=0.0788748137893102,  dy=0.06147164996729503,  clicks=0,  score=0,
