Wed 08 Apr 2026, 11:39AM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
2.976, 53, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=11,  score=11, BLUE: x=995,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
3.145, 54, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=12,  score=12, BLUE: x=995,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
3.314, 55, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=13,  score=13, BLUE: x=995,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
3.496, 56, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=14,  score=14, BLUE: x=994,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
3.663, 57, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=15,  score=15, BLUE: x=994,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
3.832, 58, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=16,  score=16, BLUE: x=994,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
4.009, 59, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=17,  score=17, BLUE: x=994,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
4.176, 60, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=18,  score=18, BLUE: x=994,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
4.361, 61, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=19,  score=19, BLUE: x=994,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
4.526, 62, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=20,  score=20, BLUE: x=994,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
################# INIT balls ######################
################# INIT balls ######################
0.167, 61, Clicked: None, x=693, y=249, Clicked: None, x=693, y=249,  RED: x=403,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=0,  score=0, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
1.003, 61, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=403,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=1,  score=1, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
1.201, 62, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=2,  score=2, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
1.384, 63, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=3,  score=3, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
1.567, 64, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=4,  score=4, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
1.754, 65, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=5,  score=5, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
1.927, 66, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=6,  score=6, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
2.097, 67, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=7,  score=7, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
2.266, 68, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=8,  score=8, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
2.451, 69, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=9,  score=9, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
2.652, 70, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=10,  score=10, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
2.817, 71, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=11,  score=11, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
3.001, 72, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=12,  score=12, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
3.166, 73, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=13,  score=13, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
3.333, 74, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=14,  score=14, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
3.516, 75, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=15,  score=15, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
3.666, 76, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=16,  score=16, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
3.851, 77, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=17,  score=17, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
4.036, 78, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=18,  score=18, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
4.202, 79, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=19,  score=19, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
4.371, 80, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=20,  score=20, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
4.571, 81, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=21,  score=21, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
4.737, 82, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=22,  score=22, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
4.922, 83, Clicked: RED, x=419,  y=289, Clicked: None, x=419, y=289,  Unknown Color: x=402,  y=278,  dx=-0.08648984168588704,  dy=-0.050194693794764766,  clicks=23,  score=23, BLUE: x=987,  y=247,  dx=0.06007640033476548,  dy=-0.07994264270598633,  clicks=0,  score=0,
################# INIT balls ######################
