Tue 10 Mar 2026, 05:00PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
10.468, 0, Clicked: None, x=778, y=383, Clicked: None, x=778, y=383, Clicked: None, x=778, y=383,  RED: x=290,  y=576,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=742,  y=327,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=0,  score=0, Unknown Color: x=1162,  y=259,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=0,  score=0,
19.578, 14, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=346,  y=504,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=915,  y=269,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=15,  score=15, Unknown Color: x=1046,  y=506,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
19.713, 15, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=346,  y=503,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=917,  y=268,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=16,  score=16, Unknown Color: x=1045,  y=510,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
19.878, 16, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=347,  y=502,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=920,  y=267,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=17,  score=17, Unknown Color: x=1042,  y=514,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
20.009, 17, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=348,  y=501,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=923,  y=266,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=18,  score=18, Unknown Color: x=1041,  y=518,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
20.158, 18, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=349,  y=500,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=926,  y=265,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=19,  score=19, Unknown Color: x=1039,  y=522,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
20.291, 19, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=350,  y=499,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=928,  y=264,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=20,  score=20, Unknown Color: x=1037,  y=525,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
20.443, 20, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=351,  y=497,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=931,  y=263,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=21,  score=21, Unknown Color: x=1035,  y=530,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
20.574, 21, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=352,  y=496,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=933,  y=263,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=22,  score=22, Unknown Color: x=1034,  y=533,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
20.739, 22, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=353,  y=495,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=937,  y=262,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=23,  score=23, Unknown Color: x=1031,  y=538,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
20.888, 23, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=354,  y=494,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=939,  y=261,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=24,  score=24, Unknown Color: x=1030,  y=542,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
21.004, 24, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=354,  y=493,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=942,  y=260,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=25,  score=25, Unknown Color: x=1028,  y=545,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
21.137, 25, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=355,  y=492,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=944,  y=259,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=26,  score=26, Unknown Color: x=1026,  y=548,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
21.302, 26, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=356,  y=491,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=947,  y=258,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=27,  score=27, Unknown Color: x=1024,  y=553,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
21.434, 27, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=357,  y=490,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=950,  y=257,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=28,  score=28, Unknown Color: x=1023,  y=556,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
