Wed 18 Mar 2026, 04:08PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
193.951, 14, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=15,  score=15,
194.083, 15, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=16,  score=16,
194.215, 16, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=17,  score=17,
194.379, 17, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=18,  score=18,
194.512, 18, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=19,  score=19,
194.678, 19, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=20,  score=20,
194.778, 20, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=21,  score=21,
194.925, 21, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=22,  score=22,
195.057, 22, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=23,  score=23,
195.204, 23, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=24,  score=24,
195.319, 24, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=25,  score=25,
195.452, 25, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=26,  score=26,
195.603, 26, Clicked: None, x=696, y=604, Clicked: (0, 8, 255), x=696,  y=604,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=27,  score=27,
195.719, 27, Clicked: None, x=696, y=603, Clicked: (0, 8, 255), x=696,  y=603,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=28,  score=28,
